gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,TSPAN6,4888.9919763333455,-0.24828393506134122,0.06512921365928707,-3.8121746158367333,1.377495038260272e-4,0.0014852493838567265
ENSG00000000005,TNMD,14.146593698104262,-0.3925860066333368,0.21749334518108382,-1.8050483627739127,0.07106711438081292,0.16530024086024475
ENSG00000000419,DPM1,3290.795855344885,-0.13654006034403987,0.05748991946612728,-2.375026119570205,0.01754770840632844,0.059811886004511185
ENSG00000000457,SCYL3,865.3585275728517,-0.014051706566087441,0.04544348322530998,-0.30921279727653606,0.7571596597867958,0.845447550572957
ENSG00000000460,FIRRM,606.8898862363747,-0.1325146832564733,0.06347918016651734,-2.087529846933489,0.0368402659628446,0.10237120758674773
ENSG00000000938,FGR,402.4908003864558,-0.04277253661586984,0.1141519894716036,-0.3746981267156094,0.7078849855959611,0.8104982851102484
ENSG00000000971,CFH,2815.8491965261155,0.2830707151585917,0.1296118546568786,2.1839878451547867,0.028963141230522894,0.08594143616716955
ENSG00000001036,FUCA2,3288.1150042245717,-0.12358802295655613,0.06021303122720447,-2.05251289359966,0.0401198432956022,0.10895138368591106
ENSG00000001084,GCLC,1705.9545767770578,-0.04290968443506288,0.06547718001480703,-0.6553380036427847,0.51225015762955906,0.6586383271468971
ENSG00000001167,NFYA,2042.9241312647641,-0.15216379901915325,0.06602930475918586,-2.3044888867769657,0.021195215477494506,0.06827279767207087
ENSG00000001460,STPG1,760.5395959510907,0.04123846735057011,0.061817968046195305,0.6670951610663334,0.504711350837819,0.6527681336480047
ENSG00000001461,NIPAL3,2476.934131948973,0.37923451192625174,0.06377301278651584,5.946630014105858,2.7371914032641773e-9,2.493855087513992e-7
ENSG00000001497,LAS1L,2458.742358784166,-0.04773062185181704,0.04412433482170346,-1.081730116605401,0.2793724668694192,0.43771354702339743
ENSG00000001561,ENPP4,1479.7396358533051,0.09784897170629679,0.07119286522336216,1.374421037828765,0.16931100863171106,0.30925454694078264
ENSG00000001617,SEMA3F,7188.3000935761665,0.08552763028772607,0.09154825764877393,0.9342354784714082,0.35018243843881847,0.5108497632881395
ENSG00000001626,CFTR,988.761245083952,-0.8515919008263708,0.24015721463470197,-3.545976755775208,3.911607086861127e-4,0.003366901480244849
ENSG00000001629,ANKIB1,3138.1682145123305,0.055235645506893256,0.04560696573817104,1.211123007480926,0.22584826484379195,0.3786371406738041
ENSG00000001630,CYP51A1,204.3614218682512,0.07466819030227083,0.0782306492691399,0.9544621066020683,0.33984978164288104,0.5004236542300265
ENSG00000001631,KRIT1,1773.2785420374628,0.011723477963668821,0.04658239423214181,0.25167186352091003,0.8012947067569536,0.8745847347424504
ENSG00000002016,RAD52,803.6442626098367,-0.060760001769388165,0.07397089838805249,-0.8214041345103077,0.411416109302559,0.5701007105483826
ENSG00000002330,BAD,3098.4692884872625,-0.022940691697748036,0.06810655464838779,-0.33683529898382675,0.7362410616731792,0.8305939672028427
ENSG00000002549,LAP3,6936.8482813646415,-0.11075974358805125,0.07759241958305167,-1.4274557254848674,0.1534485782398752,0.2879489154227802
ENSG00000002586,CD99,8562.009424511005,-0.10379542581990901,0.08165263496699883,-1.2711828082689498,0.20366362115264258,0.35203552500886487
ENSG00000002587,HS3ST1,542.3536107528789,-0.15499958743202347,0.09685804630066125,-1.6002757989861012,0.10953741318994532,0.22596974336546855
ENSG00000002726,AOC1,2178.918515954235,-0.4431603252930766,0.2366763354394958,-1.872431920454365,0.06114687235309935,0.14848325000242224
ENSG00000002745,WNT16,14.901036880478625,-0.9467037834228739,0.198283906393294,-4.7744862437050095,1.8016659739242552e-6,4.959208062967942e-5
ENSG00000002746,HECW1,106.67584014810184,-0.19775306587630515,0.14241591628268693,-1.3885601485986814,0.16496654260981336,0.30368078127229053
ENSG00000002822,MAD1L1,1759.2409752404858,0.13741093237551855,0.06200841078504485,2.2160047425156595,0.026691177347055523,0.08122477452046892
ENSG00000002834,LASP1,13310.5188096048,0.3476313412859155,0.06271282641772773,5.543225543214342,2.9694996486502546e-8,1.7177848443715855e-6
ENSG00000002919,SNX11,1166.377481315757,0.03488070593171901,0.05904874841559524,0.5907103345565026,0.5547145222869976,0.6947809245228909
ENSG00000002933,TMEM176A,3344.269074161257,-0.07362865797188504,0.14357128906768593,-0.5128369219919255,0.6080654000855876,0.7370072981481692
ENSG00000003056,M6PR,4304.646426038947,0.05650426240465077,0.06920318490700259,0.816498004832913,0.41421536418320326,0.5723257784460365
ENSG00000003096,KLHL13,217.0997759879383,-0.5732145334727395,0.16629856667041223,-3.4469000241523164,5.670583833256332e-4,0.004442405221519794
ENSG00000003137,CYP26B1,262.4068827661078,-1.0023984039713774,0.1724724355092572,-5.811933953455276,6.17552065252922e-9,4.728165434049893e-7
ENSG00000003147,ICA1,1383.2457173593045,0.18887152673115337,0.0848234016649421,2.226644098490745,0.02597106924316121,0.07960383915035889
ENSG00000003249,DBNDD1,2704.423261196732,0.1608875623049107,0.09694089794969854,1.6596458843242128,0.09698571189383304,0.2074508325072691
ENSG00000003393,ALS2,1369.5815583706942,-0.13596982736311186,0.05059776111319456,-2.6872696414161004,0.007203877284415798,0.03079987139291991
ENSG00000003400,CASP10,1344.7859216467227,0.0982317702650405,0.0988850647272523,0.9933933960197757,0.3205182786379112,0.4817688751414681
ENSG00000003402,CFLAR,5350.059558449118,-0.013239711540603306,0.058694866331733875,-0.22556847588296056,0.8215370615436797,0.8875347326405959
